Channel Name,Neural Interface Compatible,Metaverse Integration Level,Quantum Computing Topics,Holographic Content Rating,Channel ID,Tecnologia ID
Jones-Garner Labs,False,Advanced,20,1D,2584,2786
Lewis Group Studios,True,Basic,2,1D,573,2787
Lewis Group Studios,True,Basic,2,1D,2585,2788
"Alvarez, Hall and Stevens Network",True,,12,4D,2586,2789
Brown Ltd Labs,True,Basic,17,4D,2504,2790
Brown Ltd Labs,True,Basic,17,4D,2587,2791
Brown Ltd Labs,True,Basic,17,4D,4102,2792
"Oconnor, Martinez and Brewer Labs",False,Basic,10,4D,2588,2793
Johnson-Wilson Network,False,Full,0,4D,2589,2794
Vargas-Valdez Labs,True,Full,17,3D,2590,2795
Owens-Tucker Network,True,Basic,6,1D,2591,2796
"Ellis, Turner and Morgan Hub",False,Basic,16,1D,2592,2797
"King, Allen and Dunn Labs",False,Full,16,3D,2593,2798
Martin-Kane Network,True,,12,3D,2594,2799
"Newman, Smith and Jordan Studios",True,Advanced,9,3D,2595,2800
Perry Inc Network,False,Advanced,2,3D,2596,2801
Marshall PLC Hub,True,Full,18,1D,2597,2802
Marshall PLC Hub,True,Full,18,1D,2688,2803
Marshall PLC Hub,True,Full,18,1D,4355,2804
Mcdaniel-Mckay Hub,False,,20,2D,2598,2805
Davies-Phillips Network,True,Basic,5,3D,2599,2806
Hernandez-Smith Labs,False,Basic,20,2D,2600,2807
"Suarez, Peters and Wood Network",True,,17,1D,2601,2808
Reed Group Labs,False,Basic,11,3D,2602,2809
"Chen, Brown and Gould Studios",False,,6,1D,2603,2810
"Castro, Smith and Elliott Studios",True,Full,3,4D,2604,2811
Conway Ltd Studios,False,Advanced,20,2D,2605,2812
"Johnson, Patterson and Smith Studios",False,Basic,9,2D,2606,2813
"Cameron, Bishop and Cunningham Labs",True,Advanced,13,3D,2607,2814
"Powers, Johnston and Hamilton Labs",True,Full,11,4D,2608,2815
Gallegos LLC Studios,True,Advanced,6,2D,2609,2816
Cooper and Sons Labs,False,Advanced,17,1D,2610,2817
"Oliver, Martinez and Alexander Hub",False,Advanced,9,2D,2611,2818
"Martin, Hughes and Callahan Labs",True,Full,2,4D,2612,2819
"Olson, Dennis and Kramer Network",True,,3,1D,2613,2820
Morales LLC Studios,True,Full,0,1D,2614,2821
Jackson-Cherry Studios,False,,8,3D,2615,2822
Terry-Benson Hub,True,Advanced,5,4D,2616,2823
Walters and Sons Network,True,Full,20,3D,2617,2824
Brown-Patterson Labs,True,Advanced,16,2D,2618,2825
Cannon-Hoffman Network,True,,8,4D,2619,2826
Scott-Donaldson Hub,False,Full,13,3D,2620,2827
Walker LLC Hub,False,Advanced,19,1D,2621,2828
Madden-Taylor Hub,True,Full,10,1D,2622,2829
Roberts and Sons Labs,False,Full,13,1D,2623,2830
Roberts and Sons Labs,False,Full,13,1D,4468,2831
Scott and Sons Labs,True,Full,15,4D,2624,2832
Nichols-Smith Labs,False,Basic,8,4D,2625,2833
Morales PLC Hub,False,Full,13,1D,2626,2834
"Miller, Garrett and Foster Labs",True,,16,4D,2627,2835
Anderson-Garcia Network,False,Full,8,2D,2628,2836
"Reyes, Holmes and Miller Labs",False,Basic,8,4D,2629,2837
Kane PLC Labs,False,,14,4D,2630,2838
Arnold-Edwards Labs,True,,0,1D,2631,2839
Nelson-Woodard Hub,True,Basic,4,1D,2632,2840
Morales and Sons Hub,True,,15,2D,2633,2841
Haley and Sons Labs,False,,13,3D,2634,2842
"Oneill, Wagner and Rocha Studios",True,Basic,2,1D,2635,2843
Bryant-Kelley Hub,False,Full,20,3D,2636,2844
"Wilson, Snyder and Taylor Labs",False,Advanced,5,3D,2637,2845
Cobb PLC Hub,True,,5,2D,2638,2846
"Hart, Mcdonald and Nelson Network",False,Advanced,2,2D,2639,2847
Stephens Inc Hub,True,Advanced,4,3D,2640,2848
Martinez Inc Labs,False,Advanced,12,2D,2641,2849
"Williams, Porter and Allen Studios",True,Full,18,3D,2642,2850
Savage and Sons Studios,True,Basic,18,1D,2643,2851
"Thompson, Bailey and Smith Studios",False,Advanced,3,1D,2644,2852
Robertson LLC Network,False,Advanced,18,3D,2645,2853
"Schultz, Wilson and Drake Studios",False,Basic,20,4D,2646,2854
"Edwards, Martin and Davis Studios",True,Advanced,1,1D,2647,2855
Burnett-Lowe Studios,True,,18,3D,2648,2856
Taylor-Davis Labs,False,Full,14,3D,2649,2857
Dodson-Copeland Labs,True,Full,7,1D,2650,2858
Garrison Ltd Studios,True,Basic,7,4D,2651,2859
Kelley Group Studios,True,Full,17,3D,2652,2860
Phelps PLC Labs,True,Basic,10,3D,2653,2861
Aguilar-Hess Hub,True,Basic,19,2D,2654,2862
Brown Group Labs,False,,13,3D,1490,2863
Brown Group Labs,False,,13,3D,2655,2864
Powell Ltd Network,False,Basic,2,1D,2656,2865
"Williamson, Rangel and Patel Hub",True,Basic,5,4D,2657,2866
Smith PLC Hub,False,,3,2D,2658,2867
"Holmes, Johnson and Miranda Labs",True,Full,13,2D,2659,2868
Abbott-Porter Hub,True,Full,11,4D,2660,2869
Jones Ltd Studios,False,Basic,5,4D,2409,2870
Jones Ltd Studios,False,Basic,5,4D,2661,2871
Hammond-Morrison Labs,True,Advanced,17,3D,2662,2872
Howard-Perry Labs,True,Advanced,14,1D,2663,2873
Evans-Ramirez Hub,False,,18,1D,2664,2874
Ingram and Sons Hub,True,Advanced,15,2D,2665,2875
Davis-Coleman Hub,False,Basic,5,2D,2666,2876
Jones-Miranda Network,True,,9,4D,2667,2877
Vasquez Inc Studios,True,Advanced,11,3D,2668,2878
"Lewis, Cook and Bray Hub",False,,12,3D,2669,2879
Ellis LLC Labs,True,,9,3D,2670,2880
"Newman, Graham and James Studios",False,,1,2D,2671,2881
Ortega Group Network,True,Advanced,17,3D,2672,2882
Mitchell-Hamilton Labs,True,Full,18,1D,2673,2883
Bartlett-Miller Network,False,Basic,11,1D,2674,2884
Taylor LLC Network,True,Basic,16,4D,2675,2885
Taylor LLC Network,True,Basic,16,4D,3485,2886
Powers-Walker Network,True,Advanced,12,4D,2676,2887
Simpson-Walker Network,False,Full,0,4D,2677,2888
"Pittman, Larsen and Welch Network",True,,11,1D,2678,2889
Brooks-Gomez Hub,False,Full,9,4D,2679,2890
Blair LLC Studios,True,Basic,11,3D,2680,2891
"Ramsey, Howell and Johnson Network",False,,10,2D,2681,2892
Taylor-Douglas Studios,True,Basic,17,1D,2682,2893
"Hill, Nguyen and Hill Labs",True,Advanced,17,2D,2683,2894
Williams-Wilson Hub,True,Full,19,1D,2684,2895
Ross-Clayton Labs,True,,17,3D,2685,2896
Juarez PLC Network,True,Basic,4,1D,2686,2897
"Cannon, Browning and Gonzalez Labs",False,,11,3D,2687,2898
Marshall PLC Hub,False,Full,16,2D,2597,2899
Marshall PLC Hub,False,Full,16,2D,2688,2900
Marshall PLC Hub,False,Full,16,2D,4355,2901
Sanders-Fuller Labs,False,Full,6,2D,2689,2902
"Mckinney, Lee and Garcia Labs",True,Advanced,1,4D,2690,2903
Jones-Green Studios,False,,8,4D,2691,2904
Carpenter and Sons Network,False,,9,2D,2692,2905
"Adams, Davis and Hernandez Labs",False,,13,4D,2693,2906
Hudson-Hughes Studios,False,Advanced,14,4D,2694,2907
"Roberts, Horton and Morris Network",False,Basic,18,2D,2695,2908
Cisneros Group Network,False,Advanced,0,2D,2696,2909
"Simmons, Brown and Barr Studios",True,Basic,15,2D,2697,2910
Taylor-Hoffman Labs,False,Basic,9,4D,2698,2911
"Harvey, Williams and Cordova Hub",True,,13,3D,2699,2912
Charles LLC Network,True,,3,1D,2700,2913
Davis-Morgan Network,True,,4,2D,2701,2914
Walker-Carpenter Labs,True,,18,3D,2702,2915
Sanders-Moore Network,False,Advanced,5,3D,2703,2916
"Morris, Santos and Green Studios",True,,2,3D,2704,2917
Hamilton Inc Hub,True,,9,1D,2705,2918
Jenkins-Flores Network,False,Advanced,20,1D,2706,2919
Roy-Brown Studios,False,Advanced,14,2D,2707,2920
"Adams, White and Boyer Labs",True,,14,4D,2708,2921
Gonzales PLC Hub,False,,13,2D,2709,2922
"Moore, King and Hunt Labs",False,Advanced,11,3D,2710,2923
"Johns, Bell and Clark Labs",True,Basic,5,3D,2711,2924
Elliott-Estrada Labs,False,,11,1D,2712,2925
"Pham, Cantu and Jones Network",False,Advanced,13,1D,2713,2926
"Ferguson, Thomas and Johnson Labs",True,Full,12,2D,2714,2927
"Jones, Holden and Morales Studios",True,Advanced,12,1D,2715,2928
Jensen-Fritz Labs,False,Full,6,1D,2716,2929
Harris LLC Hub,True,Basic,0,2D,2717,2930
Torres-Malone Labs,True,Full,18,2D,2718,2931
Spencer-Arroyo Network,False,Full,12,1D,2719,2932
Day Group Studios,True,Basic,4,4D,2720,2933
"Greer, Smith and Banks Labs",True,Full,7,1D,2721,2934
"Johnson, Vance and Harris Studios",False,,1,2D,2722,2935
"Daniels, Gutierrez and Woods Studios",False,Advanced,1,4D,2723,2936
"Holden, Conway and Miller Studios",True,Advanced,12,3D,2724,2937
"Arnold, Garcia and Harrell Labs",False,Advanced,10,4D,2725,2938
Farley and Sons Hub,False,,15,1D,2726,2939
Williams-Henderson Labs,True,Basic,20,4D,2727,2940
Phillips LLC Network,True,,18,2D,2292,2941
Phillips LLC Network,True,,18,2D,2728,2942
"King, Davis and Howell Studios",True,Full,4,1D,2729,2943
"Phillips, Johnson and Wilson Labs",False,,20,1D,2730,2944
Harper-Li Studios,False,Basic,0,4D,2731,2945
"Woodward, Russell and Landry Labs",True,,12,2D,2732,2946
Collins-Clark Hub,True,Basic,17,2D,2733,2947
Vance and Sons Network,True,Basic,8,4D,2734,2948
Carroll-Garcia Hub,True,Advanced,12,4D,2735,2949
Campbell-Murillo Labs,False,Basic,0,3D,2736,2950
Green-Moreno Network,True,Full,7,1D,2737,2951
Hernandez-Woods Labs,True,,13,2D,2738,2952
"Mendoza, Watson and Duarte Studios",False,Basic,15,1D,2739,2953
Grant Inc Studios,False,,1,3D,2740,2954
"Mccormick, Alvarado and Rangel Hub",True,,17,3D,2741,2955
"Hernandez, Williams and Todd Hub",False,Full,14,2D,2742,2956
"Martinez, Jones and Morgan Hub",False,Advanced,13,3D,2743,2957
Pittman and Sons Network,False,Advanced,5,3D,2744,2958
Turner Group Labs,False,,11,4D,2745,2959
Stokes-Esparza Hub,False,Full,14,1D,2746,2960
Haas-Harvey Labs,True,Full,19,2D,2747,2961
Benson LLC Hub,True,Basic,9,3D,2748,2962
Hernandez-Taylor Hub,True,Full,9,2D,2749,2963
Rios PLC Hub,True,Full,13,2D,2750,2964
"Ware, Meyer and Kennedy Hub",True,,14,3D,2751,2965
Robinson and Sons Studios,False,Full,7,3D,2752,2966
Guzman and Sons Studios,False,Advanced,2,3D,2753,2967
Wade and Sons Hub,False,,18,1D,2754,2968
"Wong, Smith and Meyer Labs",False,Advanced,20,1D,2755,2969
"Michael, Rodriguez and Park Labs",True,,12,2D,2756,2970
"Hill, Cooper and Sherman Studios",False,Basic,15,2D,2757,2971
"Shepherd, Wheeler and Smith Hub",False,,7,2D,2758,2972
Santana-White Labs,False,Full,12,3D,2759,2973
"Guerrero, Smith and Raymond Hub",True,,1,1D,2760,2974
Phillips-Holland Network,False,Advanced,8,1D,2761,2975
Walsh-Hutchinson Hub,False,Full,6,4D,2762,2976
Blake Inc Labs,True,Basic,1,3D,2763,2977
Brown and Sons Hub,False,,8,3D,1495,2978
Brown and Sons Hub,False,,8,3D,2764,2979
Robertson-Carroll Studios,False,Basic,7,2D,2765,2980
"Alvarez, Walker and Walker Labs",True,Full,0,3D,2766,2981
"Mcdonald, Marshall and Williams Labs",True,Basic,20,2D,2767,2982
"Best, Johnson and Jackson Network",False,,20,2D,2768,2983
"Chavez, Craig and Ferguson Labs",False,,7,1D,2769,2984
"Clark, Goodwin and Smith Labs",False,Basic,11,3D,2770,2985
"Jordan, Phillips and Hardy Studios",True,Full,19,4D,2771,2986
Hunt-Lee Studios,True,Advanced,7,3D,2772,2987
"Wilkinson, Stone and Ramsey Studios",False,Basic,8,2D,2773,2988
Stokes and Sons Hub,True,Basic,13,1D,2774,2989
"King, Schwartz and Yang Studios",False,,8,1D,2775,2990
"Patel, Melendez and Graves Labs",False,Basic,12,4D,2776,2991
"Marquez, Fitzgerald and Davis Studios",False,Advanced,17,3D,2777,2992
Bowers LLC Hub,False,,7,4D,2778,2993
Hardy and Sons Hub,False,,13,3D,2779,2994
Bush PLC Network,False,Advanced,11,1D,2780,2995
Mcmahon PLC Hub,True,,4,2D,2781,2996
Leblanc-Wiggins Studios,False,,20,4D,2782,2997
"Long, Jones and Lopez Hub",True,Advanced,8,4D,2783,2998
Taylor LLC Labs,True,,6,2D,2168,2999
Taylor LLC Labs,True,,6,2D,2784,3000
"Weaver, Hill and Jackson Studios",True,Full,1,4D,2785,3001
"Haas, Thomas and Hobbs Labs",True,Full,6,1D,2786,3002
"Romero, Butler and Powell Labs",True,Basic,16,4D,2787,3003
"Hamilton, Gonzales and Diaz Network",False,,7,4D,2788,3004
Kelly Ltd Studios,True,Full,11,4D,2789,3005
Brewer LLC Studios,False,,16,1D,2790,3006
Hudson-Johnson Studios,False,Full,18,3D,2791,3007
Gross LLC Hub,False,,15,3D,2792,3008
"Smith, Coleman and Taylor Labs",True,,11,1D,2793,3009
Hill Ltd Network,True,Advanced,8,3D,2794,3010
Murphy-Simpson Studios,True,Basic,6,3D,2795,3011
"Flores, Williamson and Ortiz Studios",False,Advanced,12,2D,2796,3012
"Jones, Luna and Mccoy Labs",True,,7,3D,2797,3013
Martin-Yates Studios,False,Advanced,8,4D,2798,3014
Bishop LLC Network,False,Full,1,1D,2799,3015
Berry PLC Labs,False,Advanced,8,3D,2800,3016
"Tucker, Perez and Ramos Hub",False,Basic,18,4D,2801,3017
"Woodward, Burns and Smith Labs",False,,20,3D,2802,3018
Alexander-Fritz Network,True,,8,1D,2803,3019
Malone-Knapp Studios,False,Basic,15,2D,2804,3020
Liu PLC Labs,False,Advanced,17,2D,2805,3021
"Roy, Rice and Jones Network",True,Basic,6,3D,2806,3022
Fernandez PLC Studios,False,Advanced,16,3D,2807,3023
"Martin, Cruz and Rios Studios",True,Full,8,2D,2808,3024
Shaw Ltd Hub,True,Full,8,4D,2809,3025
Lee-Robinson Studios,False,Advanced,8,4D,2810,3026
Guzman LLC Labs,True,Basic,17,2D,2811,3027
Jackson Group Studios,True,Advanced,18,4D,2812,3028
Jackson Group Studios,True,Advanced,18,4D,4442,3029
"Burgess, Davis and Gay Network",True,,12,3D,2813,3030
Ware Inc Hub,False,,4,1D,2814,3031
Church Group Labs,True,,16,2D,2815,3032
"Serrano, Goodwin and May Studios",True,Advanced,10,2D,2816,3033
Rosario Inc Labs,True,Advanced,6,1D,2817,3034
Ford-Thompson Studios,False,,4,4D,2818,3035
Sullivan LLC Hub,False,Basic,2,4D,2819,3036
"Mckay, Johnson and Martin Hub",False,Full,11,4D,2820,3037
"Watson, Roberts and Bowen Hub",True,Basic,16,2D,2821,3038
Day Group Labs,True,Full,12,3D,2822,3039
Day Group Labs,True,Full,12,3D,3519,3040
Hamilton-Clay Labs,False,Full,15,2D,2823,3041
Manning Group Network,False,Full,18,3D,2824,3042
Tran-Thompson Labs,True,Advanced,1,4D,2825,3043
Harrington-Stanley Network,True,Advanced,14,2D,2826,3044
Evans-Guzman Network,True,,0,3D,2827,3045
Randolph Ltd Studios,True,Advanced,16,3D,2828,3046
Murray Inc Network,True,,10,3D,477,3047
Murray Inc Network,True,,10,3D,2829,3048
Anderson LLC Network,True,Basic,18,3D,675,3049
Anderson LLC Network,True,Basic,18,3D,2830,3050
Mcintyre-Pierce Hub,True,Full,15,1D,2831,3051
"Mccormick, Robertson and Smith Network",True,Advanced,4,2D,2832,3052
"Summers, Velasquez and Gordon Network",False,Basic,9,2D,2833,3053
Clay Group Network,False,Full,16,3D,2834,3054
Clay Group Network,False,Full,16,3D,4211,3055
Norris LLC Studios,True,Advanced,0,2D,2835,3056
Yang PLC Network,False,Full,17,3D,2836,3057
"Lewis, Johnson and Clements Studios",False,Full,17,4D,2837,3058
Blackburn and Sons Studios,True,Full,5,1D,2838,3059
"Taylor, Stone and Munoz Hub",False,Full,8,2D,2839,3060
"Sanchez, Brooks and Smith Studios",False,Full,8,1D,2840,3061
"Harvey, Jones and Thompson Labs",False,Full,20,1D,2841,3062
Mueller-Craig Studios,False,Full,10,1D,2842,3063
Lawson-Robinson Labs,False,Full,3,4D,2843,3064
Ross-Pierce Network,False,Advanced,14,3D,2844,3065
"Farmer, Brown and Serrano Hub",True,,1,3D,2845,3066
Carter-Moran Studios,True,Advanced,13,2D,2846,3067
Webb Group Network,True,Basic,7,2D,2847,3068
Bolton PLC Network,True,Advanced,1,4D,2848,3069
Brown-Wise Network,True,,20,2D,2849,3070
Li-Nielsen Hub,False,,16,4D,2850,3071
Dunn Inc Labs,True,Basic,14,4D,2851,3072
"Thomas, Harris and Allen Network",True,Basic,15,1D,2852,3073
"Allison, Walker and Miller Labs",True,Basic,13,2D,2853,3074
"Hayes, Jones and Moran Hub",False,,10,3D,2854,3075
Owen-Willis Network,False,,3,1D,2855,3076
Rodriguez Inc Network,False,Full,15,4D,2856,3077
Rodriguez Inc Network,False,Full,15,4D,3586,3078
Williams-Mills Labs,True,Full,5,4D,2857,3079
"Macdonald, Foster and Allen Labs",False,,0,2D,2858,3080
Nelson-Nelson Labs,True,Basic,2,1D,2859,3081
"Lucero, Powell and Taylor Studios",False,Full,12,2D,2860,3082
Villa LLC Network,True,,7,2D,2861,3083
"Baldwin, Rhodes and Hodges Network",False,Full,17,4D,2862,3084
"Bean, Murphy and Cherry Network",True,,16,3D,2863,3085
Larson Inc Labs,True,Full,8,4D,2864,3086
Allen Group Studios,True,Full,19,4D,999,3087
Allen Group Studios,True,Full,19,4D,2402,3088
Allen Group Studios,True,Full,19,4D,2865,3089
Allen Group Studios,True,Full,19,4D,3655,3090
"Gilmore, Jones and Robinson Labs",False,Advanced,18,2D,2866,3091
Williams and Sons Labs,True,Full,14,3D,2867,3092
Williams and Sons Labs,True,Full,14,3D,4958,3093
Adkins Inc Network,True,Full,13,1D,2868,3094
Moss Ltd Network,False,Advanced,16,4D,2869,3095
Hernandez LLC Studios,True,Full,12,4D,2870,3096
Hernandez LLC Studios,True,Full,12,4D,4431,3097
Smith and Sons Labs,True,Advanced,5,1D,2871,3098
Sanchez-Ortiz Labs,False,Full,2,1D,2872,3099
"Gates, Peterson and Wright Studios",False,Basic,10,1D,2873,3100
"Wade, Guerrero and Smith Studios",False,,11,3D,2874,3101
James Inc Network,False,Full,14,3D,2875,3102
Simpson-Williams Studios,False,,0,4D,2876,3103
"Stevenson, Pennington and Hooper Network",True,Basic,5,2D,2877,3104
Perry-Wall Hub,False,,4,1D,2878,3105
Morris and Sons Hub,False,Basic,20,2D,1006,3106
Morris and Sons Hub,False,Basic,20,2D,2879,3107
Morris and Sons Hub,False,Basic,20,2D,3614,3108
"Black, Gonzales and Cruz Network",False,Basic,4,3D,2880,3109
"Olson, Nelson and Clarke Network",True,,0,3D,2881,3110
"Rodriguez, Barry and Edwards Labs",False,,6,1D,2882,3111
Nunez and Sons Hub,True,Full,1,1D,2883,3112
Brock PLC Hub,True,Advanced,11,2D,2884,3113
Stewart Inc Network,False,Full,15,4D,2885,3114
Miles-Mcintyre Hub,False,Full,17,3D,2886,3115
Nash LLC Network,True,Full,4,4D,2887,3116
Floyd and Sons Studios,True,Basic,16,4D,2888,3117
Cain-Taylor Labs,False,Basic,14,4D,2889,3118
Hicks-Watson Network,False,Full,4,1D,2890,3119
"Herrera, Cummings and Merritt Network",True,Basic,15,4D,2891,3120
Ross and Sons Studios,True,Full,17,4D,2892,3121
Patrick-Richards Labs,False,Advanced,6,4D,2893,3122
"Mason, Thomas and Walter Studios",True,,19,2D,2894,3123
"Willis, Moore and Wilson Hub",False,Basic,17,4D,2895,3124
Santana-Blackwell Network,False,Full,12,3D,2896,3125
Stout Group Studios,False,,20,3D,2897,3126
Stanley PLC Studios,False,,10,2D,2898,3127
Simmons Inc Hub,True,Full,13,2D,2899,3128
English LLC Hub,True,Basic,16,1D,2900,3129
Hunter-Walker Studios,True,Advanced,13,1D,2901,3130
Rowe-Hartman Network,True,Basic,1,1D,2902,3131
Robinson-Baird Hub,True,,2,4D,2903,3132
Zimmerman and Sons Studios,False,Full,17,3D,2904,3133
Zimmerman and Sons Studios,False,Full,17,3D,3307,3134
Green Group Studios,True,Basic,4,2D,1602,3135
Green Group Studios,True,Basic,4,2D,2905,3136
Graham-Silva Hub,False,Full,7,1D,2906,3137
"Harvey, Brown and Mitchell Network",True,Full,15,3D,2907,3138
Roberts Inc Labs,True,Basic,15,4D,2908,3139
"Spencer, Gonzalez and Thomas Hub",True,,16,1D,2909,3140
"Davenport, Bradford and Moore Network",True,,18,3D,2910,3141
Crawford-Miller Studios,True,Basic,15,2D,2911,3142
Medina-Oliver Network,False,Advanced,6,1D,2912,3143
Rojas-Lara Hub,True,Advanced,10,3D,2913,3144
Callahan and Sons Studios,True,,9,1D,2914,3145
Peterson PLC Labs,True,Full,7,2D,2915,3146
Lowery-Russo Hub,True,Basic,20,2D,2916,3147
"Hernandez, Smith and Wade Studios",False,Basic,15,4D,2917,3148
Schultz and Sons Hub,True,Full,11,4D,2918,3149
Buchanan-Hawkins Network,False,Advanced,17,1D,2919,3150
Johnson-Wood Studios,False,Basic,5,2D,2920,3151
Mathews-Dillon Network,False,,14,4D,2921,3152
Fisher-Arnold Network,False,Basic,6,4D,2922,3153
Dunlap LLC Hub,False,Advanced,0,4D,2923,3154
"Bolton, Christian and Phillips Network",False,Full,15,4D,2924,3155
Brady Inc Studios,True,,13,3D,2925,3156
Harris-Mcconnell Network,False,Full,12,3D,2926,3157
"Fields, Frederick and Jones Network",True,,20,1D,2927,3158
"Phillips, Herrera and Moreno Studios",True,,5,4D,2928,3159
Simmons-Harvey Studios,True,Basic,6,1D,2929,3160
Torres LLC Hub,False,,9,3D,2930,3161
"Fisher, Flores and Garcia Studios",False,Advanced,11,3D,2931,3162
"Brown, Sanchez and Gonzales Network",False,,0,1D,2932,3163
Rodriguez-Gonzalez Studios,True,Basic,14,2D,2933,3164
May Ltd Labs,True,Full,1,4D,2934,3165
Martinez PLC Hub,True,Basic,2,4D,2935,3166
Mays PLC Network,True,,2,4D,2936,3167
Howell-Ortiz Hub,True,Basic,13,3D,2937,3168
"Myers, Dominguez and Stout Hub",False,Advanced,2,3D,2938,3169
Lawrence Ltd Labs,False,Basic,2,4D,2939,3170
Mcbride Group Labs,True,Advanced,10,2D,2940,3171
"Abbott, Higgins and Smith Labs",False,Advanced,2,1D,2941,3172
Thompson PLC Hub,False,Basic,15,3D,2942,3173
"Adkins, Rogers and Anderson Labs",True,,19,2D,2943,3174
"Soto, Butler and Smith Labs",False,Basic,8,3D,2944,3175
"Phillips, Dalton and Green Hub",True,,9,4D,2945,3176
"Vega, Flores and Salazar Hub",False,Advanced,15,2D,2946,3177
"Wells, Mooney and Daniels Hub",True,Full,14,4D,2947,3178
Baxter-Smith Labs,False,,15,1D,2948,3179
Pierce PLC Hub,True,,2,2D,2949,3180
Pierce PLC Hub,True,,2,2D,3079,3181
"Moore, Carroll and Harmon Hub",False,Advanced,18,3D,2950,3182
Schaefer-Potter Studios,False,Advanced,17,3D,2951,3183
Lee Group Labs,True,Basic,18,1D,2952,3184
"Holland, Zavala and Jefferson Hub",False,Basic,11,3D,2953,3185
Stafford-Miller Labs,True,Advanced,6,3D,2954,3186
"Sandoval, Roberts and Jones Labs",False,Basic,18,2D,2955,3187
Williams-Flores Studios,True,Advanced,20,4D,2956,3188
"Griffin, Rodriguez and Jones Network",False,,0,3D,2957,3189
Rivera PLC Studios,False,Advanced,2,4D,498,3190
Rivera PLC Studios,False,Advanced,2,4D,2958,3191
Guerra Group Labs,False,,13,4D,2959,3192
"Miranda, Jones and Rios Labs",False,Basic,4,3D,2960,3193
Phillips-Davis Hub,False,Basic,9,4D,2961,3194
Gray-Rodgers Studios,True,Basic,14,2D,2962,3195
Chen Group Studios,False,Basic,19,2D,2448,3196
Chen Group Studios,False,Basic,19,2D,2963,3197
Crawford-Miller Network,False,Basic,16,2D,2964,3198
Santos-Wilkins Labs,False,,18,2D,2965,3199
Harrell Inc Network,True,,5,4D,2966,3200
Gallagher-Clark Hub,True,Advanced,15,3D,2967,3201
Lynch and Sons Labs,False,Advanced,9,2D,2968,3202
"Mcdonald, Parker and Harper Hub",True,Basic,17,3D,2969,3203
Brown Group Studios,True,,11,3D,132,3204
Brown Group Studios,True,,11,3D,2970,3205
Hill-Meza Labs,False,Basic,4,4D,2971,3206
Brown Ltd Hub,False,,16,2D,2972,3207
Mitchell-Reid Hub,True,Advanced,2,4D,2973,3208
Holmes Ltd Labs,False,Full,19,4D,2974,3209
Mitchell-Willis Hub,True,Advanced,9,2D,2975,3210
"Valenzuela, Sullivan and Warren Labs",True,Basic,16,4D,2976,3211
"Wallace, Willis and Patton Labs",False,Full,12,1D,2977,3212
Williams-Allen Hub,True,Full,12,3D,2978,3213
"Maddox, Chase and Mccullough Labs",False,Full,6,4D,2979,3214
Gray-Russell Labs,True,Advanced,14,4D,2980,3215
Woods-Miller Hub,True,Basic,10,3D,2981,3216
"Cantrell, Ryan and Armstrong Studios",False,Advanced,3,3D,2982,3217
"Alvarez, Wallace and Bradley Hub",False,Basic,2,4D,2983,3218
"Blackburn, Santana and Buckley Hub",False,,12,1D,2984,3219
Melendez-Robles Labs,True,,17,2D,2985,3220
"Cross, Santos and Rasmussen Labs",True,Basic,3,1D,2986,3221
Martin Ltd Hub,True,Full,6,2D,2987,3222
"Collier, Curtis and Simmons Labs",True,Advanced,10,2D,2988,3223
Willis-Richards Studios,True,Full,20,2D,2989,3224
Green-Jackson Studios,True,,2,3D,2990,3225
"Hull, Burke and Robinson Network",True,Basic,17,4D,2991,3226
Valenzuela and Sons Network,False,Full,19,1D,2992,3227
Briggs LLC Network,True,Full,9,3D,2993,3228
Dean Inc Network,True,Advanced,19,4D,2994,3229
Jennings-Henry Labs,False,Full,12,1D,2995,3230
Howard LLC Hub,False,Full,7,2D,2996,3231
"Saunders, Ball and Curry Network",False,Full,0,2D,2997,3232
Allen-Le Studios,False,Advanced,15,1D,2998,3233
"Nelson, Mcintosh and Fischer Labs",True,,0,1D,2999,3234
Liu LLC Network,True,Full,5,3D,3000,3235
Lindsey-Payne Network,True,Advanced,13,1D,3001,3236
Williams LLC Labs,False,,1,4D,3002,3237
Webb Ltd Network,True,Full,9,1D,3003,3238
Hernandez Inc Network,False,Basic,8,1D,3004,3239
Jones Inc Hub,False,Basic,18,4D,2294,3240
Jones Inc Hub,False,Basic,18,4D,3005,3241
James-Kim Hub,True,Full,19,4D,3006,3242
Wagner-Davis Hub,True,Advanced,7,1D,3007,3243
Tran-Stephens Network,False,Advanced,17,4D,3008,3244
Lambert-Williams Hub,False,Full,9,2D,3009,3245
"Thomas, Moore and Lyons Network",False,,10,1D,3010,3246
Crane-Henderson Labs,False,Basic,18,4D,3011,3247
Edwards-Myers Studios,False,Full,18,2D,3012,3248
Acosta-Andrews Studios,False,,17,3D,3013,3249
"Taylor, Leach and Thompson Studios",True,Advanced,2,4D,3014,3250
Sims-Adams Labs,False,Advanced,14,1D,3015,3251
"Brooks, Jones and Small Studios",True,Advanced,1,3D,3016,3252
"Miller, Berry and White Labs",True,,8,4D,3017,3253
"Bryant, Brooks and Taylor Network",True,Advanced,5,3D,3018,3254
"Snow, Dawson and Valenzuela Network",False,Full,13,3D,3019,3255
Sexton-Forbes Network,True,Advanced,14,1D,3020,3256
Carr and Sons Studios,False,,11,4D,3021,3257
Coleman PLC Studios,True,Full,9,1D,3022,3258
