Channel Name,Total Videos,Total Subscribers,Members Count,AI Generated Content (%),Engagement Score,Content Value Index,Channel ID
Liu PLC Labs,263,3569188,358462,56,56428.51,28.7,2805
"Roy, Rice and Jones Network",344,9380925,377475,98,148311.51,33.599999999999994,2806
Fernandez PLC Studios,465,1810172,258820,13,28618.64,15.1,2807
"Martin, Cruz and Rios Studios",133,2996271,72805,72,47370.75,27.2,2808
Shaw Ltd Hub,408,6624045,315278,31,104725.51,14.9,2809
Lee-Robinson Studios,85,508764,283475,25,8043.51,13.1,2810
Guzman LLC Labs,407,9964565,499169,8,157538.8,14.3,2811
Jackson Group Studios,227,7394294,189258,54,116903.07,28.8,2812
Jackson Group Studios,227,7394294,189258,54,116903.07,28.8,4442
"Burgess, Davis and Gay Network",498,6400306,190209,82,101188.21,33.0,2813
Ware Inc Hub,224,4791666,472709,88,75755.77,29.2,2814
Church Group Labs,320,3280383,197273,13,51862.54,15.1,2815
"Serrano, Goodwin and May Studios",395,5314319,438029,78,84018.86,30.4,2816
Rosario Inc Labs,431,5037847,189164,28,79647.87,12.6,2817
Ford-Thompson Studios,82,2554504,401956,19,40386.46,8.5,2818
Sullivan LLC Hub,306,7992166,95419,75,126355.36,23.9,2819
"Mckay, Johnson and Martin Hub",65,5649591,463213,84,89319.48,32.9,2820
"Watson, Roberts and Bowen Hub",127,7383593,368563,83,116733.88,36.1,2821
Day Group Labs,84,2615798,401470,81,41355.51,32.7,2822
Day Group Labs,84,2615798,401470,81,41355.51,32.7,3519
Hamilton-Clay Labs,280,3406837,36332,30,53861.76,19.5,2823
Manning Group Network,275,8515047,302415,0,134622.06,12.6,2824
Tran-Thompson Labs,116,7807479,123741,61,123435.48,19.0,2825
Harrington-Stanley Network,213,232683,150454,29,3678.7,18.5,2826
Evans-Guzman Network,425,5257407,140835,3,83119.09,0.8999999999999999,2827
Randolph Ltd Studios,192,5432905,497130,64,85893.7,30.4,2828
Murray Inc Network,85,8926621,346013,69,141129.01,27.7,477
Murray Inc Network,85,8926621,346013,69,141129.01,27.7,2829
Anderson LLC Network,290,7418984,422060,93,117293.41,40.5,675
Anderson LLC Network,290,7418984,422060,93,117293.41,40.5,2830
Mcintyre-Pierce Hub,212,2805153,442056,19,44349.2,16.2,2831
"Mccormick, Robertson and Smith Network",331,6767774,11508,28,106997.85,11.2,2832
"Summers, Velasquez and Gordon Network",119,2471653,181010,77,39076.59,29.4,2833
Clay Group Network,166,1208844,381047,31,19111.71,20.5,2834
Clay Group Network,166,1208844,381047,31,19111.71,20.5,4211
Norris LLC Studios,340,7377260,435947,58,116633.76,17.4,2835
Yang PLC Network,307,6956230,110707,81,109977.32,36.2,2836
"Lewis, Johnson and Clements Studios",217,5235482,77011,90,82772.46,38.9,2837
Blackburn and Sons Studios,228,885429,264651,85,13998.55,29.0,2838
"Taylor, Stone and Munoz Hub",182,8913588,254096,73,140922.96,27.5,2839
"Sanchez, Brooks and Smith Studios",314,4324393,61244,57,68368.23,22.7,2840
"Harvey, Jones and Thompson Labs",241,5405050,57303,32,85453.31,23.6,2841
Mueller-Craig Studios,73,2575892,322397,51,40724.6,22.3,2842
Lawson-Robinson Labs,479,5847920,368602,39,92455.04,13.8,2843
Ross-Pierce Network,418,828969,166926,54,13105.92,26.0,2844
"Farmer, Brown and Serrano Hub",329,6592968,257345,61,104234.18,19.0,2845
Carter-Moran Studios,407,7343223,371223,82,116095.64,33.7,2846
Webb Group Network,488,4555871,439562,19,72027.88,10.6,2847
Bolton PLC Network,385,356085,22165,36,5629.67,11.499999999999998,2848
Brown-Wise Network,449,7897084,424055,2,124852.13,14.6,2849
Li-Nielsen Hub,317,6959610,230286,87,110030.76,37.3,2850
Dunn Inc Labs,208,6919498,321734,69,109396.59,30.5,2851
"Thomas, Harris and Allen Network",485,1001538,86600,20,15834.22,16.5,2852
"Allison, Walker and Miller Labs",316,8128041,377650,28,128503.54,17.5,2853
"Hayes, Jones and Moran Hub",211,4820362,89490,40,76209.45,19.0,2854
Owen-Willis Network,141,6051474,14404,66,95673.21,21.9,2855
Rodriguez Inc Network,265,2477923,461650,99,39175.72,40.2,2856
Rodriguez Inc Network,265,2477923,461650,99,39175.72,40.2,3586
Williams-Mills Labs,76,9934618,37730,85,157065.34,29.0,2857
"Macdonald, Foster and Allen Labs",152,1424813,166483,94,22526.15,28.2,2858
Nelson-Nelson Labs,443,7632747,482788,1,120672.99,1.7,2859
"Lucero, Powell and Taylor Studios",72,7587169,187888,36,119952.4,19.2,2860
Villa LLC Network,255,6963586,276775,41,110093.62,17.2,2861
"Baldwin, Rhodes and Hodges Network",308,7613436,47446,92,120367.68,39.5,2862
"Bean, Murphy and Cherry Network",483,3684904,437006,24,58257.97,18.4,2863
Larson Inc Labs,147,9965474,125483,31,157553.17,14.9,2864
Allen Group Studios,392,6276953,402907,58,99238.01,30.7,999
Allen Group Studios,392,6276953,402907,58,99238.01,30.7,2402
Allen Group Studios,392,6276953,402907,58,99238.01,30.7,2865
Allen Group Studios,392,6276953,402907,58,99238.01,30.7,3655
"Gilmore, Jones and Robinson Labs",442,8818139,422457,69,139413.92,33.3,2866
Williams and Sons Labs,178,6859385,203895,52,108446.21,25.4,2867
Williams and Sons Labs,178,6859385,203895,52,108446.21,25.4,4958
Adkins Inc Network,225,6341863,225483,30,100264.24,18.1,2868
Moss Ltd Network,349,7299799,260439,5,115409.11,12.7,2869
Hernandez LLC Studios,253,8281281,144393,88,130926.24,34.8,2870
Hernandez LLC Studios,253,8281281,144393,88,130926.24,34.8,4431
Smith and Sons Labs,454,2401698,411134,60,37970.61,21.5,2871
Sanchez-Ortiz Labs,429,854245,42333,95,13505.53,29.9,2872
"Gates, Peterson and Wright Studios",492,9898555,234512,18,156495.19,12.4,2873
"Wade, Guerrero and Smith Studios",439,7455015,189357,34,117863.06,17.9,2874
James Inc Network,66,843997,327679,87,13343.51,35.9,2875
Simpson-Williams Studios,103,7783770,212063,24,123060.64,7.199999999999999,2876
"Stevenson, Pennington and Hooper Network",409,4785622,172372,83,75660.22,28.4,2877
Perry-Wall Hub,389,6471775,366992,28,102318.13,11.2,2878
Morris and Sons Hub,114,3643041,418215,14,57596.12,18.2,1006
Morris and Sons Hub,114,3643041,418215,14,57596.12,18.2,2879
Morris and Sons Hub,114,3643041,418215,14,57596.12,18.2,3614
"Black, Gonzales and Cruz Network",86,5953319,50469,16,94121.39,7.6,2880
"Olson, Nelson and Clarke Network",246,7311104,113207,34,115587.84,10.2,2881
"Rodriguez, Barry and Edwards Labs",398,6652046,339787,30,105168.2,13.2,2882
Nunez and Sons Hub,58,9836157,442664,86,155508.68,26.5,2883
Brock PLC Hub,206,4628217,144979,84,73171.66,32.9,2884
Stewart Inc Network,92,3392520,156923,37,53635.41,21.6,2885
Miles-Mcintyre Hub,428,2214659,291738,93,35013.54,39.8,2886
Nash LLC Network,376,3171145,435228,79,50135.49,26.5,2887
Floyd and Sons Studios,79,1411185,3640,92,22310.7,38.8,2888
Cain-Taylor Labs,261,5213470,226417,79,82424.45,33.5,2889
Hicks-Watson Network,340,3479542,483852,15,55011.22,7.3,2890
"Herrera, Cummings and Merritt Network",302,9652222,319534,31,152600.69,19.8,2891
Ross and Sons Studios,293,6639296,207989,83,104966.62,36.8,2892
Patrick-Richards Labs,467,7829042,490896,0,123776.39,4.199999999999999,2893
"Mason, Thomas and Walter Studios",409,4271602,342903,32,67533.61,22.9,2894
"Willis, Moore and Wilson Hub",226,7661993,496348,12,121135.36,15.499999999999998,2895
Santana-Blackwell Network,338,5641956,91206,71,89198.77,29.7,2896
Stout Group Studios,186,6756659,53616,93,106822.12,41.9,2897
Stanley PLC Studios,212,3738970,228736,90,59112.75,34.0,2898
Simmons Inc Hub,334,4613132,219304,84,72933.17,34.3,2899
English LLC Hub,90,7028229,62116,37,111115.61,22.3,2900
Hunter-Walker Studios,340,7221016,154186,2,114163.56,9.7,2901
Rowe-Hartman Network,452,1485484,95405,82,23485.36,25.3,2902
Robinson-Baird Hub,177,6790536,444581,93,107357.71,29.3,2903
Zimmerman and Sons Studios,429,6262058,373436,98,99002.53,41.3,2904
Zimmerman and Sons Studios,429,6262058,373436,98,99002.53,41.3,3307
Green Group Studios,193,2956229,226090,94,46737.69,31.0,1602
Green Group Studios,193,2956229,226090,94,46737.69,31.0,2905
Graham-Silva Hub,375,162527,340328,77,2569.54,28.0,2906
"Harvey, Brown and Mitchell Network",208,4408753,52722,45,69701.95,24.0,2907
Roberts Inc Labs,253,7312955,315117,42,115617.11,23.1,2908
"Spencer, Gonzalez and Thomas Hub",115,1939371,247152,62,30661.27,29.8,2909
"Davenport, Bradford and Moore Network",57,3666160,326216,1,57961.63,12.9,2910
Crawford-Miller Studios,441,1299208,186860,97,20540.35,39.6,2911
Medina-Oliver Network,427,2610069,37654,16,41264.94,9.0,2912
Rojas-Lara Hub,471,3864144,485658,17,61091.74,12.1,2913
Callahan and Sons Studios,291,4352190,19533,62,68807.7,24.9,2914
Peterson PLC Labs,137,7797008,18661,81,123269.94,29.2,2915
Lowery-Russo Hub,347,9951271,255968,26,157328.62,21.8,2916
"Hernandez, Smith and Wade Studios",351,6945192,411743,16,109802.81,15.3,2917
Schultz and Sons Hub,220,5164027,481313,8,81642.76,10.1,2918
Buchanan-Hawkins Network,355,1875942,127950,18,29658.46,17.299999999999997,2919
Johnson-Wood Studios,441,6594535,139656,64,104258.95,22.7,2920
Mathews-Dillon Network,337,9404681,372441,44,148687.09,23.0,2921
Fisher-Arnold Network,480,1399213,297179,14,22121.42,8.399999999999999,2922
Dunlap LLC Hub,398,5815081,170516,80,91935.86,24.0,2923
"Bolton, Christian and Phillips Network",356,4926442,297887,19,77886.57,16.2,2924
Brady Inc Studios,380,6152994,192876,91,97278.23,36.4,2925
Harris-Mcconnell Network,344,3630745,498572,65,57401.72,27.9,2926
"Fields, Frederick and Jones Network",378,2155965,208644,88,34085.6,40.4,2927
"Phillips, Herrera and Moreno Studios",146,5808160,16666,60,91826.44,21.5,2928
Simmons-Harvey Studios,56,9313591,455058,86,147246.97,30.0,2929
Torres LLC Hub,342,5992122,404286,59,94734.86,24.0,2930
"Fisher, Flores and Garcia Studios",271,4740412,67067,35,74945.45,18.2,2931
"Brown, Sanchez and Gonzales Network",423,4233617,72699,53,66933.07,15.9,2932
Rodriguez-Gonzalez Studios,364,3176926,61240,24,50226.89,17.0,2933
May Ltd Labs,470,2065995,50455,77,32663.18,23.8,2934
Martinez PLC Hub,98,657656,344590,57,10397.48,18.5,2935
Mays PLC Network,330,5281396,388203,18,83498.36,6.799999999999999,2936
Howell-Ortiz Hub,98,7139177,96897,100,112869.69,39.1,2937
"Myers, Dominguez and Stout Hub",362,4178796,42524,6,66066.36,3.2,2938
Lawrence Ltd Labs,253,6232814,442291,100,98540.18,31.4,2939
Mcbride Group Labs,406,7880590,329348,36,124591.36,17.799999999999997,2940
"Abbott, Higgins and Smith Labs",356,8594368,23971,87,135876.12,27.5,2941
Thompson PLC Hub,484,3946132,45315,66,62387.96,30.3,2942
"Adkins, Rogers and Anderson Labs",433,2387958,135145,42,37753.38,25.9,2943
"Soto, Butler and Smith Labs",162,6341826,254903,81,100263.65,29.9,2944
"Phillips, Dalton and Green Hub",75,6838513,451140,19,108116.22,12.0,2945
"Vega, Flores and Salazar Hub",206,9221677,351871,80,145793.81,34.5,2946
"Wells, Mooney and Daniels Hub",432,6698363,183249,99,105900.47,39.5,2947
Baxter-Smith Labs,165,7217724,320613,1,114111.51,10.8,2948
Pierce PLC Hub,371,4458144,96411,4,70482.82,2.6,2949
Pierce PLC Hub,371,4458144,96411,4,70482.82,2.6,3079
"Moore, Carroll and Harmon Hub",392,194708,316492,71,3078.31,33.9,2950
Schaefer-Potter Studios,133,4076193,375719,19,64444.21,17.599999999999998,2951
Lee Group Labs,258,7166516,78472,32,113301.92,22.2,2952
"Holland, Zavala and Jefferson Hub",169,6466563,147754,52,102235.73,23.3,2953
Stafford-Miller Labs,67,2636557,45019,4,41683.71,5.4,2954
"Sandoval, Roberts and Jones Labs",281,9682011,54417,58,153071.65,30.0,2955
Williams-Flores Studios,316,1859717,345012,57,29401.94,31.1,2956
"Griffin, Rodriguez and Jones Network",317,6648090,274773,33,105105.65,9.9,2957
Rivera PLC Studios,204,8482214,143650,43,134102.98,14.3,498
Rivera PLC Studios,204,8482214,143650,43,134102.98,14.3,2958
Guerra Group Labs,474,3009704,142890,46,47583.13,22.9,2959
"Miranda, Jones and Rios Labs",135,540251,157212,6,8541.32,4.6,2960
Phillips-Davis Hub,349,927589,246283,87,14665.09,32.4,2961
Gray-Rodgers Studios,349,5680152,157868,59,89802.65,27.5,2962
Chen Group Studios,114,4081421,204099,84,64526.87,38.5,2448
Chen Group Studios,114,4081421,204099,84,64526.87,38.5,2963
Crawford-Miller Network,317,2813537,405125,34,44481.75,21.4,2964
Santos-Wilkins Labs,171,2723662,473592,78,43060.83,36.0,2965
Harrell Inc Network,154,4694325,423819,12,74216.82,7.1,2966
Gallagher-Clark Hub,409,1500770,204524,87,23727.03,36.6,2967
Lynch and Sons Labs,157,1774278,293238,29,28051.16,15.0,2968
"Mcdonald, Parker and Harper Hub",189,4818147,390044,31,76174.43,21.2,2969
Brown Group Studios,484,6022221,257412,66,95210.73,27.5,132
Brown Group Studios,484,6022221,257412,66,95210.73,27.5,2970
Hill-Meza Labs,103,4307242,321326,68,68097.08,23.2,2971
Brown Ltd Hub,55,144650,233342,25,2286.9,18.7,2972
Mitchell-Reid Hub,163,899484,135159,28,14220.75,9.8,2973
Holmes Ltd Labs,331,7736488,317832,39,122313.12,25.0,2974
Mitchell-Willis Hub,486,7482658,80120,54,118300.09,22.5,2975
"Valenzuela, Sullivan and Warren Labs",62,587782,180944,46,9292.78,25.0,2976
"Wallace, Willis and Patton Labs",481,3130410,488007,54,49491.48,24.6,2977
Williams-Allen Hub,289,5484068,421532,31,86702.58,17.699999999999996,2978
"Maddox, Chase and Mccullough Labs",236,4364623,235840,6,69004.26,5.999999999999999,2979
Gray-Russell Labs,327,8860389,397192,84,140081.89,35.0,2980
Woods-Miller Hub,225,4496962,51103,69,71096.53,27.7,2981
"Cantrell, Ryan and Armstrong Studios",403,2978134,447673,78,47084.01,25.5,2982
"Alvarez, Wallace and Bradley Hub",184,8921960,293887,56,141055.32,18.2,2983
"Blackburn, Santana and Buckley Hub",69,4358941,432900,5,68914.43,9.9,2984
Melendez-Robles Labs,247,8448636,408434,77,133572.11,35.0,2985
"Cross, Santos and Rasmussen Labs",365,1928314,409700,25,30486.46,9.6,2986
Martin Ltd Hub,184,9673403,54649,28,152935.56,12.6,2987
"Collier, Curtis and Simmons Labs",55,1236815,170840,99,19553.92,36.7,2988
Willis-Richards Studios,183,2779490,199931,96,43943.47,42.8,2989
Green-Jackson Studios,499,6586191,180239,44,104127.04,14.6,2990
"Hull, Burke and Robinson Network",452,1467253,267409,99,23197.13,41.6,2991
Valenzuela and Sons Network,493,6392601,384859,90,101066.4,40.3,2992
Briggs LLC Network,370,9617619,233881,71,152053.62,27.6,2993
Dean Inc Network,395,183817,465524,70,2906.13,34.3,2994
Jennings-Henry Labs,303,4097513,17173,14,64781.28,12.599999999999998,2995
Howard LLC Hub,52,8773614,425325,59,138709.98,22.6,2996
"Saunders, Ball and Curry Network",165,3515276,298236,1,55576.17,0.3,2997
Allen-Le Studios,291,6547699,355696,6,103518.48,12.3,2998
"Nelson, Mcintosh and Fischer Labs",233,4912287,219887,21,77662.78,6.3,2999
Liu LLC Network,426,121900,222915,59,1927.23,21.2,3000
Lindsey-Payne Network,80,9555202,32658,25,151066.81,16.6,3001
Williams LLC Labs,301,4604261,180696,5,72792.92,2.2,3002
Webb Ltd Network,273,3899051,9404,89,61643.62,33.0,3003
Hernandez Inc Network,449,4296422,383292,59,67926.01,23.3,3004
Jones Inc Hub,433,6953374,416400,67,109932.16,32.7,2294
Jones Inc Hub,433,6953374,416400,67,109932.16,32.7,3005
James-Kim Hub,257,815412,329169,26,12891.58,21.1,3006
Wagner-Davis Hub,98,4556827,44117,65,72042.99,24.4,3007
Tran-Stephens Network,342,7048166,182621,51,111430.82,27.2,3008
Lambert-Williams Hub,179,7202257,205759,63,113866.98,25.2,3009
"Thomas, Moore and Lyons Network",349,9029437,34455,60,142754.52,25.0,3010
Crane-Henderson Labs,313,2459947,124187,47,38891.52,26.7,3011
Edwards-Myers Studios,124,8694230,361259,30,137454.93,21.6,3012
Acosta-Andrews Studios,372,6296629,37227,2,99549.09,12.499999999999998,3013
"Taylor, Leach and Thompson Studios",288,3555600,135048,10,56213.69,4.4,3014
Sims-Adams Labs,493,4363135,496986,73,68980.74,31.7,3015
"Brooks, Jones and Small Studios",279,6750095,163069,97,106718.34,29.8,3016
"Miller, Berry and White Labs",434,3780585,428266,34,59770.68,15.8,3017
"Bryant, Brooks and Taylor Network",312,2895865,82489,10,45783.34,6.5,3018
"Snow, Dawson and Valenzuela Network",294,9208427,490950,26,145584.33,16.9,3019
Sexton-Forbes Network,407,7438378,380052,91,117600.03,37.1,3020
Carr and Sons Studios,121,2449635,394825,24,38728.49,14.9,3021
Coleman PLC Studios,162,8216827,57725,17,129907.23,11.4,3022
"Johnson, Sheppard and Sanchez Studios",229,4411519,148404,21,69745.68,11.2,3023
Black Group Studios,348,5534323,22668,12,87497.11,10.6,3024
Shannon and Sons Labs,328,1830937,157769,25,28946.94,11.0,3025
Moyer-Golden Network,123,1369102,314224,55,21645.37,29.1,3026
Schwartz-Nelson Studios,52,2676418,441588,33,42313.91,17.6,3027
Heath and Sons Hub,239,2931239,128761,2,46342.6,11.8,3028
Johnson-Williams Labs,331,4167232,343143,34,65883.53,20.7,3029
Berger Inc Labs,278,8931990,192823,32,141213.89,11.0,3030
"Potter, Henry and White Network",492,2366428,7634,56,37413.0,17.5,3031
Brennan Ltd Studios,113,9253684,317578,5,146299.84,13.4,3032
Vargas-Lewis Labs,263,7335363,53410,85,115971.37,26.2,3033
"Miller, Green and Houston Labs",307,1740398,395261,94,27515.52,32.4,3034
Smith and Sons Studios,339,3854886,290329,92,60945.37,38.8,158
Smith and Sons Studios,339,3854886,290329,92,60945.37,38.8,3035
Smith and Sons Studios,339,3854886,290329,92,60945.37,38.8,3767
Nelson PLC Studios,363,3909272,28884,4,61805.21,2.6,3036
"Watson, Nelson and Johnson Network",150,5290847,313249,41,83647.77,17.9,3037
"Washington, Brown and Carroll Studios",330,2277343,152367,60,36004.57,22.2,3038
Sanchez LLC Labs,64,8783630,210941,84,138868.33,28.0,3039
"Brown, Huang and Stone Studios",141,393286,190526,49,6217.81,22.4,3040
"Scott, Sanchez and Rivera Labs",470,7501510,308891,22,118598.14,18.5,3041
Diaz Group Labs,76,6476008,350493,62,102385.05,20.7,3042
Moore LLC Hub,483,4855052,82762,89,76757.9,38.6,3043
"Bennett, Perkins and Johnson Hub",229,6048701,139270,34,95629.37,13.7,3044
"Ortiz, Foster and Young Labs",131,8751851,480347,98,138365.91,39.9,3045
"Peters, Flores and Davenport Labs",222,9253803,166850,72,146301.72,28.6,3046
"Johnson, Kelly and Davis Network",58,1954233,25933,96,30896.23,39.3,3047
"Wilson, Vasquez and Castillo Hub",266,1052942,225858,36,16646.91,15.7,3048
Nguyen-Phillips Network,432,390522,271646,54,6174.11,26.7,3049
Bradford LLC Network,275,9239586,424653,38,146076.95,14.2,3050
Myers Inc Network,296,6516255,177878,35,103021.36,23.1,3051
"Reeves, Hughes and Martin Network",273,3386101,109493,55,53533.93,29.1,3052
"Simmons, Pitts and Foster Studios",432,4508705,230041,3,71282.19,3.0,3053
"Navarro, Curtis and Shaffer Network",244,820154,357766,85,12966.55,32.5,3054
"Rodriguez, Rivera and Martinez Studios",240,3441148,173306,53,54404.21,23.6,3055
Richardson LLC Studios,305,4119039,386781,40,65121.6,16.2,3056
Richardson LLC Studios,305,4119039,386781,40,65121.6,16.2,3570
Reynolds-Dixon Hub,172,7544177,272376,99,119272.7,29.7,3057
"Velazquez, Howe and Diaz Studios",202,57551,92794,18,909.88,12.4,3058
Galloway-Thomas Studios,253,2682334,284449,88,42407.44,35.5,3059
Jackson Ltd Labs,157,3674922,40361,22,58100.16,20.6,3060
Mann-Patterson Hub,126,8531062,229714,38,134875.26,11.4,3061
Hansen-Merritt Network,294,1541024,314860,95,24363.44,28.5,3062
Vargas Group Labs,482,1532265,25876,44,24224.96,20.2,3063
Dunn-Perez Labs,270,59977,65292,64,948.23,19.9,3064
"Gilbert, Moyer and May Studios",489,3836434,428813,94,60653.65,31.7,3065
"Skinner, Miles and Wood Studios",409,9601196,195273,97,151793.97,31.9,3066
"Gilbert, Hardin and Adams Studios",498,9700746,123092,60,153367.85,18.0,3067
"Figueroa, Perez and Jones Network",271,9771594,179355,4,154487.95,11.7,3068
"Pham, Arnold and Steele Labs",433,5770229,263387,10,91226.76,13.5,3069
Heath-Aguilar Labs,206,1802274,141465,26,28493.78,14.1,3070
Moore Group Studios,73,7306936,143205,17,115521.95,7.899999999999999,3071
Moore Group Studios,73,7306936,143205,17,115521.95,7.899999999999999,3284
Moore Group Studios,73,7306936,143205,17,115521.95,7.899999999999999,3316
"Smith, Mccoy and Fernandez Studios",165,7831070,66225,77,123808.45,24.5,3072
Joseph LLC Studios,341,1373710,745,73,21718.22,31.7,3073
Brown Group Hub,67,5318175,224063,53,84079.83,29.9,1416
Brown Group Hub,67,5318175,224063,53,84079.83,29.9,3074
Brown Group Hub,67,5318175,224063,53,84079.83,29.9,3449
"Stewart, Reynolds and Evans Labs",284,937775,208096,32,14826.13,15.2,3075
"Bates, Powell and Torres Labs",452,6134838,20361,36,96991.19,18.5,3076
"Bauer, Carey and Norton Labs",152,9389998,194963,4,148454.95,10.3,3077
Miranda Ltd Studios,120,6198613,185829,100,97999.47,35.6,3078
Pierce PLC Hub,152,4644747,432045,39,73433.0,20.1,2949
Pierce PLC Hub,152,4644747,432045,39,73433.0,20.1,3079
Parker-Harvey Network,465,4032290,188657,9,63750.11,16.7,3080
Contreras-Charles Studios,172,6596441,177558,55,104289.09,24.9,3081
Dawson-Anderson Studios,114,9909028,153674,33,156660.77,19.0,3082
Shepherd Ltd Studios,470,8585907,77187,86,135742.35,31.4,3083
Clark Group Labs,449,9391873,165702,61,148484.6,30.2,566
Clark Group Labs,449,9391873,165702,61,148484.6,30.2,3084
Davis LLC Studios,346,3524814,98520,80,55726.97,37.3,2435
Davis LLC Studios,346,3524814,98520,80,55726.97,37.3,3085
Castillo-Cortez Studios,413,822716,165569,29,13007.06,18.5,3086
"Bridges, Nelson and Robertson Network",166,2697385,208940,17,42645.39,17.7,3087
"Sampson, Miller and Fisher Labs",490,9433660,6306,37,149145.24,19.5,3088
Martinez-Shepard Network,78,558683,198274,47,8832.72,25.3,3089
"Kelly, York and Miller Studios",296,1412103,416847,88,22325.21,34.8,3090
Vaughn-Mckinney Labs,240,683161,86051,32,10800.71,19.4,3091
"Tran, Riley and Johnson Studios",443,3117478,405531,23,49287.02,9.0,3092
Johnson-Armstrong Labs,276,3691458,395004,90,58361.59,41.0,3093
Wilson-Rodriguez Labs,398,5049707,27307,53,79835.38,20.1,3094
Stone-Baker Labs,169,8048163,48807,96,127240.67,40.7,3095
"Stevenson, Taylor and Rodriguez Studios",243,7179019,314290,36,113499.59,21.3,3096
Gomez-Lopez Studios,400,6855582,281021,76,108386.08,22.8,3097
Jensen Ltd Labs,416,2986577,299272,95,47217.49,30.6,3098
"Obrien, Black and Bryant Hub",343,9656277,284895,11,152664.8,9.6,3099
"Morales, Stevenson and Thompson Hub",416,6561248,451574,34,103732.69,18.6,3100
Skinner-Tate Hub,410,7740750,383358,42,122380.5,19.6,3101
Parks LLC Network,285,2855088,395732,57,45138.66,19.9,3102
"Giles, Miles and Odonnell Network",483,4863280,337333,25,76887.98,15.9,3103
Case LLC Labs,365,361035,450004,23,5707.93,20.2,3104
"Thomas, Porter and Bennett Network",211,3558291,162500,82,56256.23,28.8,3105
Taylor-Ho Network,86,9588073,105497,30,151586.5,11.8,3106
"Randall, Carpenter and Trujillo Network",309,5031459,182502,74,79546.88,31.3,3107
Gonzalez Inc Hub,381,1415340,429466,8,22376.39,2.4,3108
Robinson Ltd Studios,354,3194499,409561,50,50504.72,15.7,3109
Norton Group Labs,146,9177445,439972,76,145094.51,27.7,3110
Manning-Palmer Studios,212,8365378,17921,36,132255.81,10.8,3111
Yoder-Cohen Hub,189,8038908,377069,77,127094.35,30.1,3112
Howard Inc Studios,331,5335072,282519,41,84346.97,15.099999999999998,1799
Howard Inc Studios,331,5335072,282519,41,84346.97,15.099999999999998,3113
Hoffman-Collins Studios,398,1816750,179823,65,28722.64,19.5,3114
Cobb-Wright Network,144,5176016,164194,90,81832.31,40.3,3115
Benson-Davis Studios,472,8548768,192674,54,135155.19,23.2,3116
Hill Group Hub,259,9404801,297298,94,148688.99,38.0,3117
Hill Group Hub,259,9404801,297298,94,148688.99,38.0,3160
"Hansen, Henderson and Rivera Hub",59,2744481,34087,45,43389.98,19.1,3118
Brown-Jackson Labs,426,187534,386845,0,2964.89,2.1,3119
Johnson LLC Hub,53,7798011,431770,78,123285.79,36.0,3120
"Gallagher, Jimenez and Chavez Network",106,2078451,85554,44,32860.11,16.7,3121
Robinson-Miller Studios,91,8524669,232226,31,134774.19,13.499999999999998,3122
Sanchez-Martin Studios,72,6031374,292277,61,95355.43,30.9,3123
"Hill, Yates and Wilson Network",200,6912382,19764,41,109284.09,12.999999999999998,3124
"Ward, Griffin and Griffith Hub",193,2305997,20168,97,36457.59,41.0,3125
"Cox, Clay and Mitchell Network",95,9716808,399381,34,153621.79,17.2,3126
Briggs Group Labs,60,1001346,130607,30,15831.18,13.2,3127
Nelson-Miller Studios,215,970173,185255,44,15338.34,17.4,3128
Myers-Arnold Studios,107,8428225,225360,63,133249.41,20.3,3129
Sullivan Ltd Network,158,7159934,5936,46,113197.86,27.1,3130
Sullivan Ltd Network,158,7159934,5936,46,113197.86,27.1,3321
"Salazar, Roberts and Whitehead Network",432,6476378,242672,45,102390.9,27.5,3131
Collins Inc Hub,479,6521636,368568,88,103106.43,35.5,3132
"Robbins, Snow and King Network",197,2294097,248721,6,36269.45,10.2,3133
Jones-Garza Labs,179,2225739,458590,51,35188.72,22.3,3134
Silva PLC Studios,160,1800071,74493,43,28458.95,26.9,3135
Cervantes PLC Hub,360,2862081,237889,90,45249.22,41.0,3136
Pena Ltd Studios,94,3274629,330090,15,51771.57,4.5,3137
"May, Jones and Stephens Labs",380,9777904,221776,93,154587.71,39.8,3138
"Smith, Huerta and Hernandez Network",54,3267937,58433,57,51665.77,31.1,3139
Rodriguez Ltd Hub,280,6655357,461010,2,105220.54,12.499999999999998,3140
Webster Ltd Studios,140,9817391,7718,43,155211.99,17.1,3141
Trujillo-Martinez Studios,92,7847860,158441,99,124073.9,39.5,3142
"Franco, Roberts and Abbott Studios",368,9284848,225412,81,146792.54,27.8,3143
Munoz-Cunningham Labs,412,2410705,360606,4,38113.01,6.8,3144
"Browning, Cox and Martinez Hub",208,7065330,256092,9,111702.18,5.5,3145
Gray PLC Network,389,8172623,50187,97,129208.37,29.8,3146
"Francis, Martinez and Dickson Studios",183,4765940,309787,96,75349.05,41.4,3147
"Garcia, Long and Cline Labs",398,3627969,138925,87,57357.84,29.6,3148
Newman-Taylor Studios,160,4993455,35309,8,78946.04,5.9,3149
"Castro, Craig and Blanchard Labs",364,4038696,412668,37,63851.39,24.4,3150
Williams Inc Studios,472,7869036,128365,69,124408.69,31.9,3151
"Wall, Gray and Ellis Labs",486,6148235,46086,47,97203.0,17.6,3152
Harper-Choi Studios,460,2292077,60661,23,36237.51,9.7,3153
Waller-Rice Hub,179,9917266,330531,87,156791.01,40.1,3154
